0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447
KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS,ALDOB,ENO3,LDHB,PGAM4,ALDH3B2,ADH5,AKR1A1,LDHAL6B,MINPP1,GAPDH,PFKP,LDHA,ACSS1,FBP2,PGAM1,G6PC2,ALDOC,PDHA1,ADPGK,BPGM,PGK2,HK3,PKM,PGM1,PDHA2,ALDOA,ALDH2,ADH4,ADH7,ALDH9A1,ADH1A,G6PC1,DLD,PCK1,FBP1,PFKL,PFKM,GCK,ALDH1B1,G6PC3,ACSS2,ALDH3B1,GAPDHS,PGM2,ALDH3A2,PGAM2,LDHAL6A,HKDC1,LDHC,GALM,PDHB,PGK1,PCK2,ENO4,PKLR,GPI,HK1,HK2,DLAT,ENO1,ADH6,ALDH3A1,TPI1,ENO2,ADH1B,ADH1C,ALDH7A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_CITRATE_CYCLE_(TCA_CYCLE),SUCLA2,IDH1,SDHA,ACO2,OGDH,SUCLG1,ACLY,OGDHL,PDHA1,SDHD,SDHC,SDHB,SUCLG2,PDHA2,CS,IDH3B,DLD,PCK1,IDH3G,PC,IDH2,PDHB,PCK2,ACO1,IDH3A,MDH1,DLST,MDH2,FH,DLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_PENTOSE_PHOSPHATE_PATHWAY,ALDOB,PRPS1L1,PGD,H6PD,PGLS,PRPS1,GLYCTK,SHPK,RBKS,TKT,PRPS2,RGN,FBP2,ALDOC,TKTL2,PGM1,G6PD,ALDOA,RPIA,FBP1,PFKL,PFKM,RPEL1,PGM2,IDNK,TALDO1,GPI,TKTL1,DERA,RPE,PFKP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,UGT1A6,DHDH,UGT2A1,AKR1A1,UGT1A1,SORD,DCXR,UGT1A3,UGT2B28,UGT2B11,UGT2B17,UGT1A4,UGT2A2,UGT2B4,AKR1B10,UGT2B15,CRYL1,XYLB,AKR1B15,AKR1B1,GUSB,UGT1A7,UGT1A5,RPEL1,UGT2A3,CRPPA,UGT1A8,FGGY,KL,UGT2B10,UGT1A9,UGT1A10,UGT2B7,RPE,UGDH,UGP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,MPI,ALDOB,PFKFB2,PMM2,GMPPA,SORD,PFKP,PFKFB4,FBP2,ALDOC,GMPPB,GMDS,HK3,TIGAR,FPGT,ALDOA,AKR1B10,FCSK,AKR1B15,AKR1B1,GFUS,FBP1,PFKL,PFKM,PFKFB1,HKDC1,HK1,HK2,PFKFB3,TKFC,ENOSF1,PMM1,KHK,TPI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_GALACTOSE_METABOLISM,B4GALT2,MGAM2,GAA,PFKP,GANC,GALK1,G6PC2,HK3,PGM1,B4GALT1,AKR1B10,LALBA,GLB1,MGAM,AKR1B15,AKR1B1,G6PC1,G6PC3,PFKL,PFKM,GCK,GALT,SI,PGM2,GALM,HKDC1,HK1,HK2,GALE,GLA,LCT,UGP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,UGT1A6,MIOX,UGT2A1,AKR1A1,UGT1A1,RGN,UGT1A3,UGT2B28,UGT2B11,UGT2B17,UGT1A4,UGT2A2,UGT2B4,ALDH2,UGT2B15,ALDH9A1,GUSB,UGT1A7,ALDH1B1,UGT1A5,UGT2A3,ALDH3A2,UGT1A8,KL,UGT2B10,UGT1A9,UGT1A10,UGT2B7,UGDH,ALDH7A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_STARCH_AND_SUCROSE_METABOLISM,PYGL,MGAM2,ENPP3,GYG1,AMY2B,GBA3,GAA,PGM2L1,AGL,GANC,G6PC2,PYGB,PYGM,HK3,ENPP1,PGM1,GYS2,GBE1,MGAM,TREH,G6PC1,G6PC3,GCK,SI,AMY1C,PGM2,HKDC1,GYS1,GYG2,GPI,HK2,HK1,AMY1B,AMY1A,AMY2A,UGP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_PYRUVATE_METABOLISM,LDHB,ME1,ADH5,AKR1A1,GLO1,LDHAL6B,ACOT12,LDHA,ACSS1,PDHA1,PKM,PDHA2,ALDH2,ACAT1,ACAT2,ALDH9A1,ADH1B,ADH4,ADH7,GRHPR,ADH1A,ACACA,DLD,PCK1,ALDH1B1,ACSS2,ADH1C,LDHD,ALDH3A2,ACYP2,LDHAL6A,PC,LDHC,PCK2,PDHB,HAGH,ME3,PKLR,ACACB,MDH1,DLAT,ACYP1,ADH6,MDH2,ME2,FH,ALDH7A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,PCCA,PGP,GLYCTK,HAO1,MCEE,ACO2,ACSS1,GCSH,GLUL,HAO2,HOGA1,CS,ACAT1,AFMID,ACAT2,GRHPR,HYI,MMUT,AMT,DLD,CAT,GLDC,SHMT1,ACSS2,AGXT,PCCB,ACO1,MDH1,MDH2,SHMT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
